AvIracUrRRa	1	0
ASekuwin	1	0
AstIrRRa	1	0
AsPujit	1	0
Asyaloman	1	0
Asrava	1	0
AhArasamBava	1	0
AhitAgni	1	0
Ahimata	1	0
i	4	2
ikzupatra	1	0
ikzumUla	2	1
idaNkAryyA	1	0
indraparRRI	1	0
indrapuzpI	1	0
indramahakAmuka	1	0
indrasenAnI	1	0
indrastut	1	0
indrAdfSa	1	0
indriyabaDa	1	0
iBAnuna	1	0
iryya	1	0
illiSa	1	0
iva	2	1
izwASva	1	0
izwin	1	0
I	7	5
IrAmA	1	0
IS	2	1
ISa	1	2
u	4	2
ugrAdeva	1	0
ucCizwamodana	1	0
ucCvasita	1	0
uYCaSila	1	0
uWa	1	0
utaNkameva	1	0
utaTya	1	0
utAho	1	0
utkarRRa	1	0
utkIrRRa	1	0
utkfti	1	0
utkrISa	1	0
utKacita	1	0
uttaraBAdrapad	1	0
uttAnapaSraka	1	0
uttIrRRa	1	0
utpatAka	1	0
utpaSye	1	0
udakIrRRa	1	0
udakecara	1	0
udaYc	1	0
udadyA	1	0
udaSvit	1	0
udIkzaRa	1	0
udumbaraparRRI	1	0
udgataSfNga	1	0
udgIrRRaM	1	0
udgUrRRa	1	0
udDavadUta	1	0
udbanDaka	1	0
udvAhika	1	0
unda	1	0
udurakarRI	1	0
unnidrA	1	0
unmeya	1	0
upakarRRa	1	0
upakalApa	1	0
upakvaRa	1	0
upanandaka	1	0
uparaYjaka	1	0
upasaMkramaRe	1	0
upasaMvyAna	1	0
upAdAnalakzaRA	1	0
upAsaka	1	0
upodDAtaH	1	0
uraHsUtrikA	1	0
uraRa	1	0
uraro	1	0
urucakzas	1	0
urovfhatI	1	0
urRRanABa	1	0
ula	2	1
ulUpina	1	0
ulkApruKa	1	0
uhra	1	0
U	5	2
UDara	1	0
Urjja	3	2
UrRRa	1	0
UrRRanABa	1	0
UrRRamradas	1	0
UrRRavABi	1	0
UrRRAmaya	1	0
UrRRAyu	1	0
UrRRAvana	1	0
UrRRAstuka	1	0
UrRRu	1	0
UrdDvakAya	1	0
UrdDvaketu	1	0
UrdDvakeSa	1	0
UrdDvaga	1	0
UrdDvagati	1	0
UrdDvagapura	1	0
UrdDvacaraRa	1	0
UrdDvajAnu	1	0
UrdDvaTA	1	0
UrdDvadaMzwrakeSa	1	0
UrdDvadfzwi	1	0
UrdDvadeva	1	0
UrdDvadeha	1	0
UrdDvanaBas	1	0
UrdDvandama	1	0
UrdDvapAtra	1	0
UrdDvapuRqra	1	0
UrdDvapfSni	1	0
UrdDvabarhis	1	0
UrdDvabuGna	1	0
UrdDvaBAga	1	0
UrdDvaBAj	1	0
f	7	4
fc	2	1
fcIzama	1	0
ftaparRRa	1	0
fterakzas	1	0
ftodya	1	0
fzijANgalikI	1	0
F	5	2
x	4	1
X	4	0
e	2	1
ekakAryya	1	0
ekatodat	1	0
ekaparRRA	1	0
ekarama	1	0
ekavarRRI	1	0
ekAntasuzamA	1	0
elAparRRI	1	0
ez	2	1
E	2	1
Enya	1	0
o	2	1
okodano	1	0
oGaraTa	1	0
O	2	1
Otputika	1	0
OdgAtra	1	0
OdDatya	1	0
OpakarRRika	1	0
Opadrazwrya	1	0
Opavastra	1	0
OpAnahya	1	0
OrRRa	1	0
OrRRAvata	1	0
OrRRika	1	0
OrdDvakAlika	1	0
OrdDvadeha	1	0
OrdDvadEhika	1	0
OrdDvadamika	1	0
OrdDvasrotasika	1	0
OrvaSeya	1	0
Ozwrika	1	0
ka	2	1
kaka	2	1
kakkola	1	0
kakzaDar	1	0
kakzapa	1	0
kaYjanABa	1	0
kawirohaka	1	0
kawurIhiRI	1	0
kawuvIjA	1	0
kawPalAdicUrRRa	1	0
kaqatra	1	0
kaRwakAzWIla	1	0
kaRWaSuRWI	1	0
kattryAdi	1	0
kada	3	4
kad	1	0
