<L>4071<pc>0341,b<k1>ayaSas<k2>ayaSas
<L>6859<pc>0714,b<k1>ADimanyava<k2>ADimanyava
<L>12062<pc>1694,b<k1>karatAlI<k2>karatAlI
<L>12535<pc>1792,a<k1>kalABft<k2>kalABft
<L>15622<pc>2338,b<k1>kroqaparRRI<k2>kroqaparRRI
<L>15763<pc>2358,a<k1>kzatodara<k2>kzatodara
<L>17470<pc>2587,b<k1>gAloqi<k2>gAloqi
<L>17885<pc>2632,a<k1>gfzwyAdi<k2>gfzwyAdi
<L>22567<pc>3277,b<k1>tArakAdi<k2>tArakAdi
<L>23336<pc>3349,a<k1>tejonATa<k2>tejonATa
<L>26622<pc>3809,a<k1>dvArayantraM<k2>dvArayantraM
<L>29288<pc>4112,b<k1>niSvAsasaMhitA<k2>niSvAsasaMhitA
<L>29895<pc>4155,a<k1>nyaNkvAdi<k2>nyaNkvAdi
<L>30208<pc>4198,a<k1>paYcAvawa<k2>paYcAvawa
<L>31947<pc>4321,a<k1>pAlIvata<k2>pAlIvata
<L>32906<pc>4395,b<k1>pUtikeSvaratIrTa<k2>pUtikeSvaratIrTa
<L>32960<pc>4398,b<k1>pUrRakoSA<k2>pUrRakoSA
<L>33780<pc>4449,b<k1>pratira<k2>pratira
<L>33858<pc>4456,a<k1>pratisAma<k2>pratisAma
<L>34134<pc>4474,b<k1>praBAtIrTa<k2>praBAtIrTa
<L>34196<pc>4480,a<k1>pramucu<k2>pramucu
<L>34574<pc>4506,a<k1>prAcInayoginIputra<k2>prAcInayoginIputra
<L>34964<pc>4542,b<k1>prOQamanoramA<k2>prOQamanoramA
<L>35156<pc>4554,a<k1>PalgulukA<k2>PalgulukA
<L>35850<pc>4594,b<k1>brahmadatta<k2>bra(vra)hmadatta
<L>39830<pc>4814,b<k1>rocI<k2>rocI
<L>40102<pc>4825,b<k1>lAlAsrAva<k2>lAlAsrAva
<L>45123<pc>5215,a<k1>sanDyAnAwin<k2>sanDyAnAwin
<L>47497<pc>5375,b<k1>srugdAru<k2>srugdAru
<L>48224<pc>5435,a<k1>hetvapahnuti<k2>hetvapahnuti
